Date,MMM,AXP,BA,CAT,CVX,CSCO,KO,DWDP,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS,AAPL,^DJI
2014-07-30,132.436096,86.305832,111.506851,92.19458,115.76415300000001,23.027584,35.714935,49.674248,92.42794,22.995796,168.161087,76.34581,173.729996,31.166056,93.50859799999999,54.105389,86.720238,52.493748,40.088153999999996,38.094669,26.262459000000003,70.511833,84.430397,78.66244499999999,98.338768,44.537085999999995,51.276382,68.449493,83.19384000000001,92.383072,16880.359375
2014-07-31,129.810226,83.543221,109.856453,89.849136,112.89035,22.668203,35.417460999999996,48.339634000000004,88.569695,22.55633,165.396027,75.496071,171.643448,30.748695,91.488518,52.96650699999999,85.463943,51.282635,39.701805,36.90794,25.759826999999998,69.754013,83.14917,76.860649,97.201752,43.384079,50.545788,67.35105899999999,81.925102,89.982887,16563.300781
2014-08-01,129.091583,82.090698,109.765251,89.64402,111.71985600000001,22.461557,35.417460999999996,48.24498,88.444374,22.735706,162.889313,74.46891,169.386749,30.612589,91.31485,51.873566,85.228966,51.336853000000005,39.425846,36.740466999999995,25.903437,71.856033,83.195595,77.277916,96.831985,42.876419,50.737419,67.314468,81.448128,90.481758,16493.369141
2014-08-04,129.681229,82.527397,109.35495,90.794449,111.95571100000001,22.614296,35.516621,48.917023,89.634949,22.663956,164.267044,74.730377,169.825577,30.893858,91.552513,52.029713,85.237999,51.57185,39.894978,36.922306,25.804705,71.468102,83.464836,78.017586,97.109306,43.203388000000004,50.821262,67.314468,83.22245799999999,89.973488,16569.279297
2014-08-05,128.787552,81.986275,110.57678999999999,90.51799799999999,109.151794,22.434603,35.318302,48.368031,87.907249,22.439737,162.09518400000002,74.730377,167.550919,29.97595,91.241737,51.487827,84.44265,50.640919,39.62822,36.807453,25.499538,71.639526,82.740677,76.803741,97.08157299999999,42.730133,50.433208,67.13138599999999,82.755028,89.531097,16429.470703
2014-08-06,128.575623,82.024254,108.558624,90.50907099999999,109.82438700000002,22.398664,35.985363,48.737179,88.605499,22.816426999999997,162.401367,75.187927,167.523911,30.003346999999998,92.055237,51.643955,84.478798,50.550533,39.315456,36.912735,25.382853,73.155113,83.27914399999999,77.287376,95.94455,42.274097,50.469134999999994,68.366043,82.60239399999999,89.380486,16443.339844
2014-08-07,128.188675,81.663498,109.93463100000001,90.9104,109.754501,22.335772,35.471546000000004,48.576267,87.969902,22.870234,161.789047,75.141243,166.019592,29.848083000000003,91.34227,51.350052000000005,84.33419,50.288422,39.766201,36.534706,25.16744,72.298073,83.464836,75.163177,96.342056,41.86108,50.073890999999996,68.135696,81.572144,89.37104000000001,16368.269531
2014-08-08,129.773422,83.040054,110.659348,92.1054,111.684929,22.488512,35.561687,49.484943,89.28582800000001,23.013737,164.812424,76.971458,168.118469,29.775009000000004,92.39344,51.744984,84.55109399999999,51.110901,39.738609000000004,36.874451,25.43671,73.028809,84.003311,75.978729,97.95051600000001,41.904102,50.414047,68.799088,82.850418,89.616989,16553.929688
2014-08-11,129.524628,82.546379,110.815308,93.19339000000001,111.55390200000001,22.668203,35.669865,49.030605,88.997383,23.130330999999998,165.00375400000001,77.39164,168.875122,30.158615,92.46656,51.726616,84.533028,51.21032,39.738609000000004,36.874451,25.355928,73.50695,84.170441,75.741646,97.72865300000001,41.878288,50.442787,68.513458,83.470497,90.79937,16569.980469
2014-08-12,129.801041,82.669815,110.512573,93.041786,111.01233700000002,22.596323,35.769016,49.030605,88.781044,22.968889,164.879379,77.429008,168.758026,30.259087,91.982117,51.754169,84.560135,51.544731,40.032959000000005,36.716545,25.203341,73.45281999999999,84.569649,76.07354699999999,96.979897,42.024567,50.375713,68.384468,83.19384000000001,90.780479,16560.539063
2014-08-13,130.648666,82.973602,111.89778100000001,93.78199000000001,111.457825,22.641249,36.003391,49.693176,89.321892,23.166204,164.917664,77.61576099999999,169.307526,31.145025,92.996719,52.093998,84.921677,52.285862,40.548092,36.965382,25.320024,73.50695,84.736763,77.296883,98.132645,42.093399,51.034672,68.209404,83.565895,91.981789,16651.800781
2014-08-14,131.14621,82.850174,113.85172299999999,94.22789,110.898781,22.048265,36.219738,49.34296,89.321892,23.211044,165.262085,78.30675500000001,169.244461,30.998888,93.252655,52.33279,84.650536,53.126415,40.72287,36.989292,25.786753,73.930962,85.618774,77.590858,98.32785799999999,42.162234999999995,51.297787,68.541092,84.52937299999999,92.227737,16713.580078
2014-08-15,130.759232,82.214104,112.98024,94.299225,111.08377800000001,21.94943,36.85075,49.238846,89.267815,22.995796,164.468002,78.14801800000001,168.794098,31.208959999999998,92.475708,52.121548,84.768028,52.972763,41.201199,36.90794,25.705976,73.777596,85.53519399999999,77.258934,98.197701,41.990139,50.735363,68.08963,85.16851,92.68177,16662.910156
2014-08-18,132.78624,82.74575,114.649796,95.405067,111.25997199999999,22.129126,37.274421999999994,50.052868,89.709496,23.381453,167.00341799999998,78.05461899999999,170.577667,31.428167,93.874222,52.562397,85.183769,52.801041000000005,41.495567,37.587444,25.885485,74.373039,86.333656,78.083969,100.484619,41.972931,51.732258,68.63323199999999,85.82674399999999,93.79798100000001,16838.740234
2014-08-19,132.90600600000002,83.657143,115.20021799999999,95.690437,112.43158700000001,22.138109,37.193295,50.242172,89.682457,23.363516,166.43893400000002,82.387383,171.217255,31.364234999999997,94.11189300000001,52.86548199999999,85.364532,53.24391899999999,41.95837,37.568298,25.975241,74.598557,86.259384,79.155556,100.921547,41.904102,51.896397,68.992592,85.941231,95.093887,16919.589844
